FR_ID,AC_ID,User_Story_ID,Confidence,Source
FR-001,AC-001-01,US-001,High,User-confirmed
FR-001,AC-001-02,US-001,High,User-confirmed
FR-001,AC-001-03,US-002,High,Inferred from async requirement
FR-001,AC-001-04,US-007,High,Inferred from model consistency requirement
FR-001,AC-001-05,US-006,High,User-confirmed backward compat
FR-002,AC-002-01,US-002,High,User-confirmed
FR-002,AC-002-02,US-002,High,User-confirmed
FR-002,AC-002-03,US-002,High,User-confirmed
FR-002,AC-002-04,US-002,High,Inferred from fail-open principle
FR-003,AC-003-01,US-003,High,User-confirmed
FR-003,AC-003-02,US-003,High,User-confirmed
FR-003,AC-003-03,US-003,Medium,Inferred from existing .emb format
FR-003,AC-003-04,US-001,High,User-confirmed dual search
FR-003,AC-003-05,US-006,High,Inferred from fail-open principle
FR-004,AC-004-01,US-001,High,User-confirmed
FR-004,AC-004-02,US-001,High,User-confirmed
FR-004,AC-004-03,US-001,High,User-confirmed
FR-004,AC-004-04,US-001,Medium,Inferred reasonable default
FR-004,AC-004-05,US-006,High,Consistent with REQ-0063
FR-005,AC-005-01,US-004,High,User-confirmed
FR-005,AC-005-02,US-004,High,User-confirmed
FR-005,AC-005-03,US-004,High,User-confirmed
FR-005,AC-005-04,US-004,High,Inferred from conversational UX model
FR-006,AC-006-01,US-005,High,User-confirmed
FR-006,AC-006-02,US-005,High,Inferred from conversational UX model
FR-006,AC-006-03,US-005,High,Inferred from dual-layer architecture
FR-007,AC-007-01,US-007,Medium,Inferred from .emb manifest capability
FR-007,AC-007-02,US-007,Medium,Inferred from team sharing requirement
FR-007,AC-007-03,US-007,High,User-confirmed no silent corruption
FR-007,AC-007-04,US-007,Medium,Inferred resolution path
FR-008,AC-008-01,US-008,Medium,Inferred from async failure path
FR-008,AC-008-02,US-008,Medium,Inferred from eventual consistency model
FR-008,AC-008-03,US-008,Medium,Inferred from fail-open principle
FR-008,AC-008-04,US-008,Medium,Inferred from state tracking
FR-009,AC-009-01,US-009,Medium,Inferred from compaction concept
FR-009,AC-009-02,US-009,Medium,Inferred from vector deduplication
FR-009,AC-009-03,US-009,Medium,Inferred from .emb rebuild
FR-009,AC-009-04,US-009,High,User-confirmed backward compat
FR-010,AC-010-01,US-006,High,User-confirmed
FR-010,AC-010-02,US-006,High,Inferred from format change
FR-010,AC-010-03,US-006,High,Inferred from roundtable agent requirements
FR-010,AC-010-04,US-006,High,User-confirmed gradual migration
FR-011,AC-011-01,US-006,High,Consistent with REQ-0063 ADR-005
FR-011,AC-011-02,US-006,High,Consistent with REQ-0063 ADR-005
FR-011,AC-011-03,US-006,High,Inferred from fail-open principle
FR-011,AC-011-04,US-006,High,Consistent with REQ-0063 ADR-005
